,head_eo_model_id,Самосвалы CAT 785C,eo_code,counter_current,motohour_coef
77,65,Самосвалы CAT 785C,100000065606,90624.164,1.0874915299144912
78,65,Самосвалы CAT 785C,100000065606,90612.164,1.0878561973590655
79,65,Самосвалы CAT 785C,100000065606,90600.164,1.088223917417756
80,65,Самосвалы CAT 785C,100000065606,90588.164,1.0885947285816007
81,65,Самосвалы CAT 785C,100000065606,90576.164,1.0889686699914913
82,65,Самосвалы CAT 785C,100000065606,90564.164,1.0893457814519452
83,65,Самосвалы CAT 785C,100000065606,90552.424,1.0896256079043276
84,65,Самосвалы CAT 785C,100000065606,90540.424,1.0900087165076138
85,65,Самосвалы CAT 785C,100000065606,90528.424,1.0903951144002648
86,65,Самосвалы CAT 785C,100000065606,90517.424,1.0903930838334877
87,65,Самосвалы CAT 785C,100000065606,90505.424,1.0907843511402213
88,65,Самосвалы CAT 785C,100000065606,90493.424,1.091179020380632
89,65,Самосвалы CAT 785C,100000065606,90481.424,1.091577136116396
90,65,Самосвалы CAT 785C,100000065606,90469.424,1.0919787436908825
91,65,Самосвалы CAT 785C,100000065606,90457.424,1.0923838892463706
92,65,Самосвалы CAT 785C,100000065606,90445.424,1.0927926197417208
93,65,Самосвалы CAT 785C,100000065606,90433.424,1.0932049829705197
94,65,Самосвалы CAT 785C,100000065606,90421.924,1.0934176628606576
95,65,Самосвалы CAT 785C,100000065606,90409.924,1.0938364482891452
96,65,Самосвалы CAT 785C,100000065606,90403.984,1.0917762218177802
97,65,Самосвалы CAT 785C,100000065606,90401.984,1.0880981026851397
98,65,Самосвалы CAT 785C,100000065606,90389.984,1.0884960048959766
99,65,Самосвалы CAT 785C,100000065606,90378.464,1.088699937286346
100,65,Самосвалы CAT 785C,100000065606,90264.664,1.0854979761466952
101,65,Самосвалы CAT 785C,100000065606,90255.504,1.0846825460068352
102,65,Самосвалы CAT 785C,100000065606,90243.504,1.0850873387755016
103,65,Самосвалы CAT 785C,100000065606,90232.214,1.0851876290210847
104,65,Самосвалы CAT 785C,100000065606,90220.214,1.0855986493544492
105,65,Самосвалы CAT 785C,100000065606,90209.034,1.0856539792974527
106,65,Самосвалы CAT 785C,100000065606,90197.034,1.0860711376595185
107,65,Самосвалы CAT 785C,100000065606,90185.504,1.0862841538299073
108,65,Самосвалы CAT 785C,100000065606,90173.504,1.0867084330951082
109,65,Самосвалы CAT 785C,100000065606,90162.124,1.0868594167928871
110,65,Самосвалы CAT 785C,100000065606,90150.124,1.087290656209703
111,65,Самосвалы CAT 785C,100000065606,90139.144,1.087265075308486
112,65,Самосвалы CAT 785C,100000065606,90127.144,1.0877024874719996
113,65,Самосвалы CAT 785C,100000065606,90115.744,1.087870288256246
