be_description,be_code,component_class_id,component_class_descr,head_eo_model_id,head_eo_model_descr,overhaul_cost_usd
,,1,ДВС,64,Самосвалы CAT 777F,138595
,,1,ДВС,65,Самосвалы CAT 785C,264736
