be_description,be_code,component_class_id,component_class_descr,eo_main_class_id,eo_class_description,head_eo_model_id,head_eo_model_descr,interval_between_overhaul
,,1,ДВС,,,64,Самосвалы CAT 777F,20000
,,1,ДВС,,,65,Самосвалы CAT 785C,20000
